cell_name,sample,patient,source,cell_type,cell_subtype,cluster,cluster_annotation,complexity
246,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,2,T:CD4+NAIVE,240
260,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,2,T:CD4+NAIVE,509
346,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,2,T:CD4+NAIVE,443
188,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,4,NK:CD56+16+3+NKT,369
33,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,5,T:CD8+NAIVE,275
13,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,8,B:,540
48,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,8,B:,353
273,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,8,B:,461
314,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,8,B:,581
6,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,622
84,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,602
103,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,529
108,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,713
220,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,667
274,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,713
285,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,729
297,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,469
359,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,11,T:CD8+EM,551
77,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,12,NK:CD56+16+3+NKT,804
125,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,12,NK:CD56+16+3+NKT,324
36,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,15,T:CD8+EM,823
78,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,15,T:CD8+EM,1031
211,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,15,T:CD8+EM,1164
288,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,15,T:CD8+EM,784
350,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,15,T:CD8+EM,747
82,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,16,T:CD4+CM,642
123,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,16,T:CD4+CM,777
99,BC05_TUMOR1,BC05,breast tumor,Macrophage,Macrophage,23,MACROPHAGE:,691
177,BC05_TUMOR1,BC05,breast tumor,Macrophage,Macrophage,23,MACROPHAGE:,462
215,BC05_TUMOR1,BC05,breast tumor,Macrophage,Macrophage,25,MACROPHAGE:,752
58,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,27,MONOCYTE:precursor,486
128,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,27,MONOCYTE:precursor,345
139,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,27,MONOCYTE:precursor,269
247,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,27,MONOCYTE:precursor,513
332,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,27,MONOCYTE:precursor,495
